Date,Time ,x_axis,y_axis,z_axis
15/11/2024,16:43:39,0.67,2.04,8.3
15/11/2024,16:43:47,1.35,1.55,8.44
15/11/2024,16:43:55,3.93,0.21,8.24
15/11/2024,16:44:04,1.95,1.01,8.1
15/11/2024,16:44:12,1.99,0.74,8.5
15/11/2024,16:44:20,2,0.93,8.56
15/11/2024,16:44:28,2.2,1.07,8.49
15/11/2024,16:44:37,1.78,1.14,8.46
15/11/2024,16:44:45,-1,1.39,8.74
15/11/2024,16:44:52,-0.54,1.69,8.47
15/11/2024,16:45:01,-1.13,1.67,8.57
15/11/2024,16:45:09,1.51,1.52,8.48
15/11/2024,16:45:17,0.96,2.07,8.91
15/11/2024,16:45:26,-1.16,1.6,8.54
15/11/2024,16:45:34,1.96,2.04,8.52
15/11/2024,16:45:42,2.08,1.11,8.47
15/11/2024,16:45:50,1.68,1.7,8.43
15/11/2024,16:45:58,0.74,3.27,8.29
15/11/2024,16:46:06,0.62,3.15,8.28
15/11/2024,16:46:14,3.7,1.07,8.08
15/11/2024,16:46:23,-4.13,2.27,8.46
15/11/2024,16:46:32,1.07,3.5,8.1
15/11/2024,16:46:40,2.16,1.76,8.37
15/11/2024,16:46:48,-1.21,1.87,8.34
15/11/2024,16:46:56,2.68,3.9,8.88
15/11/2024,16:47:04,-14.35,4.51,7.48
15/11/2024,16:47:12,-0.62,3.62,8.23
15/11/2024,16:47:21,3.1,0.91,8.47
15/11/2024,16:47:29,3.82,0.2,8.64
15/11/2024,16:47:37,3.21,0.65,8.53
15/11/2024,16:47:45,0.79,2.14,8.52
15/11/2024,16:47:54,2.38,2.42,8.33
15/11/2024,16:48:02,1.49,2.33,8.26
15/11/2024,16:48:10,-19.08,-0.85,10.37
15/11/2024,16:48:18,-0.5,3.83,9.49
15/11/2024,16:48:26,-2.56,3.68,8.19
15/11/2024,16:48:35,5.65,0.72,8.43
15/11/2024,16:48:43,2.93,0.78,8.42
15/11/2024,16:48:52,1.69,1.7,8.46
15/11/2024,16:49:19,-3.63,2.47,8.52
15/11/2024,16:58:59,-2.23,1.88,8.47
15/11/2024,16:59:08,0.84,1.91,8.44
15/11/2024,16:59:15,0.6,2.63,8.32
15/11/2024,16:59:23,-0.51,2.4,8.32
15/11/2024,16:59:31,-1.71,2.91,8.21
15/11/2024,16:59:39,2.51,1.13,8.54
